2016-06-26 16:09:33,704 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-06-27 12:55:42,753 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-27 12:55:42,769 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-27 12:55:42,780 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-27 12:55:42,782 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-06-27 14:43:55,940 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-27 14:43:55,960 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-27 14:43:55,974 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-27 14:43:55,976 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-06-27 14:45:21,010 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-27 14:45:21,022 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-06-27 14:45:21,024 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-27 14:45:21,026 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-06-29 13:00:25,537 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-29 13:00:25,552 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-06-29 13:00:25,564 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-29 13:00:25,566 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-04 12:32:42,044 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-04 12:32:42,098 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-04 12:32:42,137 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-04 12:32:42,139 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-05 20:18:58,020 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 20:18:58,035 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-05 20:18:58,047 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 20:18:58,050 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-05 20:23:56,548 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 20:23:56,560 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-05 20:23:56,569 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 20:23:56,570 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-05 20:34:10,193 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 20:34:10,204 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-05 20:34:10,212 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-05 20:34:10,214 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-10 03:54:39,757 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-10 03:54:39,773 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-10 03:54:39,786 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-10 03:54:39,788 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-11 12:13:41,794 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-11 12:13:41,829 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-11 12:13:41,843 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-11 12:13:41,844 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
2016-07-11 20:48:31,557 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-11 20:48:31,572 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2016-07-11 20:48:31,586 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-11 20:48:31,589 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\sistproject\company\src\test\resources
